PubDate,StDate,EnDate,Section,PropSell,PropBuy,PropTot,PropBal,BrkSell,BrkBuy,BrkTot,BrkBal,TotSell,TotBuy,TotTot,TotBal,IndSell,IndBuy,IndTot,IndBal,FrgnSell,FrgnBuy,FrgnTot,FrgnBal,SecCoSell,SecCoBuy,SecCoTot,SecCoBal,InvTrSell,InvTrBuy,InvTrTot,InvTrBal,BusCoSell,BusCoBuy,BusCoTot,BusCoBal,OthCoSell,OthCoBuy,OthCoTot,OthCoBal,InsCoSell,InsCoBuy,InsCoTot,InsCoBal,BankSell,BankBuy,BankTot,BankBal,TrstBnkSell,TrstBnkBuy,TrstBnkTot,TrstBnkBal,OthFinSell,OthFinBuy,OthFinTot,OthFinBal
2023-05-25,2023-05-15,2023-05-19,TSEPrime,1627879096,1942722943,3570602039,314843847,17705849534,17442779607,35148629141,-263069927,19333728630,19385502550,38719231180,51773920,4486374350,3598682933,8085057283,-887691417,11864040148,12580712280,24444752428,716672132,143236594,103308836,246545430,-39927758,396845957,417792897,814638854,20946940,251540177,362345883,613886060,110805706,46076495,37043679,83120174,-9032816,37397032,23828078,61225110,-13568954,28508055,11547203,40055258,-16960852,392399551,298847959,691247510,-93551592,59431175,8669859,68101034,-50761316
2023-06-01,2023-05-22,2023-05-26,TSEPrime,1700964988,1999981328,3700946316,299016340,17027139499,16758598788,33785738287,-268540711,18728104487,18758580116,37486684603,30475629,3885153727,3807618201,7692771928,-77535526,11463809110,11873443713,23337252823,409634603,106111720,91275226,197386946,-14836494,610580995,287215278,897796273,-323365717,187131298,270512041,457643339,83380743,50569856,62475662,113045518,11905806,22133969,9042458,31176427,-13091511,45575219,9114925,54690144,-36460294,571151658,334302824,905454482,-236848834,84921947,13598460,98520407,-71323487
2023-06-08,2023-05-29,2023-06-02,TSEPrime,3815527282,3842708733,7658236015,27181451,21505163480,21479626903,42984790383,-25536577,25320690762,25322335636,50643026398,1644874,3932714130,3977725448,7910439578,45011318,15043968220,15573763520,30617731740,529795300,115989912,118112165,234102077,2122253,469679587,468380219,938059806,-1299368,153697600,290813570,444511170,137115970,54868755,52277036,107145791,-2591719,34837796,39269624,74107420,4431828,21337409,15527533,36864942,-5809876,1655613729,927188369,2582802098,-728425360,22456342,16569419,39025761,-5886923
2023-06-15,2023-06-05,2023-06-09,TSEPrime,2921487808,2569372532,5490860340,-352115276,18715898034,19087703351,37803601385,371805317,21637385842,21657075883,43294461725,19690041,4623006466,4137115006,8760121472,-485891460,12778857958,13765250936,26544108894,986392978,116423291,95812326,212235617,-20610965,410534958,333194487,743729445,-77340471,208544679,270905879,479450558,62361200,41721061,47728020,89449081,6006959,25008217,4767210,29775427,-20241007,28249884,17604491,45854375,-10645393,454212364,399986907,854199271,-54225457,29339156,15338089,44677245,-14001067
2023-06-22,2023-06-12,2023-06-16,TSEPrime,2654541972,2778184190,5432726162,123642218,21892175212,21779574494,43671749706,-112600718,24546717184,24557758684,49104475868,11041500,5524284899,4971273747,10495558646,-553011152,14499334749,15099118938,29598453687,599784189,152746180,127641145,280387325,-25105035,522696244,431532274,954228518,-91163970,228538237,326634908,555173145,98096671,51506660,56561410,108068070,5054750,40444512,38076095,78520607,-2368417,69694869,26503200,96198069,-43191669,762267979,683020358,1445288337,-79247621,40660883,19212419,59873302,-21448464
2023-06-29,2023-06-19,2023-06-23,TSEPrime,1566506295,2074201513,3640707808,507695218,20256457377,19764238991,40020696368,-492218386,21822963672,21838440504,43661404176,15476832,5162225080,5479870480,10642095560,317645400,13319658908,12984329031,26303987939,-335329877,108505975,119631770,228137745,11125795,489933819,350184190,840118009,-139749629,238763622,309256696,548020318,70493074,46251363,76918045,123169408,30666682,28981393,16759576,45740969,-12221817,45372783,21239855,66612638,-24132928,795553795,389514427,1185068222,-406039368,21210639,16534921,37745560,-4675718
2023-07-06,2023-06-26,2023-06-30,TSEPrime,2046964910,1828908447,3875873357,-218056463,18041214980,18253855810,36295070790,212640830,20088179890,20082764257,40170944147,-5415633,4641577764,4500025478,9141603242,-141552286,12134124288,12474901567,24609025855,340777279,112987787,103095055,216082842,-9892732,417176617,496525151,913701768,79348534,154652643,131791997,286444640,-22860646,39788366,157114371,196902737,117326005,11512686,39577628,51090314,28064942,61086979,12488780,73575759,-48598199,448160880,311572389,759733269,-136588491,20146970,26763394,46910364,6616424
2023-07-13,2023-07-03,2023-07-07,TSEPrime,2174378601,1858278015,4032656616,-316100586,17004406796,17296544812,34300951608,292138016,19178785397,19154822827,38333608224,-23962570,4372741398,4677683305,9050424703,304941907,11326218620,11417136854,22743355474,90918234,102006899,111383582,213390481,9376683,545764954,354122566,899887520,-191642388,181527299,270144154,451671453,88616855,34942928,101890476,136833404,66947548,27894428,9215233,37109661,-18679195,37673344,17044016,54717360,-20629328,363476210,325788535,689264745,-37687675,12160716,12136091,24296807,-24625
2023-07-21,2023-07-10,2023-07-14,TSEPrime,2318301827,1990945417,4309247244,-327356410,16476542128,16790306999,33266849127,313764871,18794843955,18781252416,37576096371,-13591539,3988081797,4146124582,8134206379,158042785,11287311575,11590467280,22877778855,303155705,80724335,87618848,168343183,6894513,324964895,366244828,691209723,41279933,158488808,250896835,409385643,92408027,28075305,69422123,97497428,41346818,18888081,30797404,49685485,11909323,34267494,11677331,45944825,-22590163,487259107,227463825,714722932,-259795282,68480731,9593943,78074674,-58886788
2023-07-27,2023-07-18,2023-07-21,TSEPrime,1148851620,1055931492,2204783112,-92920128,12236388652,12315835753,24552224405,79447101,13385240272,13371767245,26757007517,-13473027,3046408669,3041643933,6088052602,-4764736,8503765120,8543153933,17046919053,39388813,88124417,83516490,171640907,-4607927,193428643,178787840,372216483,-14640803,123780001,165584863,289364864,41804862,42831806,40265465,83097271,-2566341,15525972,10862167,26388139,-4663805,14733572,9918741,24652313,-4814831,191701785,235380693,427082478,43678908,16088667,6721628,22810295,-9367039
