file,code,name,unit,freq,agg
CO_Q,TK99F2090601GCQ10000,D.I./業況/全規模/__物品賃貸/予測,%ポイント,QUARTERLY,last
CO_Q,TK99F2020601GCQ00000,D.I./業況/全規模/_卸・小売/実績,%ポイント,QUARTERLY,last
CO_Q,TK99F2020601GCQ10000,D.I./業況/全規模/_卸・小売/予測,%ポイント,QUARTERLY,last
CO_Q,TK99F2021601GCQ00000,D.I./業況/全規模/__卸売/実績,%ポイント,QUARTERLY,last
CO_Q,TK99F2021601GCQ10000,D.I./業況/全規模/__卸売/予測,%ポイント,QUARTERLY,last
CO_Q,TK99F2024601GCQ00000,D.I./業況/全規模/__小売/実績,%ポイント,QUARTERLY,last
CO_Q,TK99F2024601GCQ10000,D.I./業況/全規模/__小売/予測,%ポイント,QUARTERLY,last
CO_Q,TK99F2040601GCQ00000,D.I./業況/全規模/_運輸・郵便/実績,%ポイント,QUARTERLY,last
CO_Q,TK99F2040601GCQ10000,D.I./業況/全規模/_運輸・郵便/予測,%ポイント,QUARTERLY,last
CO_Q,TK99F2059601GCQ00000,D.I./業況/全規模/_情報通信/実績,%ポイント,QUARTERLY,last
CO_Q,TK99F2059601GCQ10000,D.I./業況/全規模/_情報通信/予測,%ポイント,QUARTERLY,last
CO_Q,TK99F2050601GCQ00000,D.I./業況/全規模/__通信/実績,%ポイント,QUARTERLY,last
CO_Q,TK99F2050601GCQ10000,D.I./業況/全規模/__通信/予測,%ポイント,QUARTERLY,last
CO_Q,TK99F2051601GCQ00000,D.I./業況/全規模/__情報サービス/実績,%ポイント,QUARTERLY,last
CO_Q,TK99F2051601GCQ10000,D.I./業況/全規模/__情報サービス/予測,%ポイント,QUARTERLY,last
CO_Q,TK99F2052601GCQ00000,D.I./業況/全規模/__その他情報通信/実績,%ポイント,QUARTERLY,last
CO_Q,TK99F2052601GCQ10000,D.I./業況/全規模/__その他情報通信/予測,%ポイント,QUARTERLY,last
CO_Q,TK99F2060601GCQ00000,D.I./業況/全規模/_電気・ガス/実績,%ポイント,QUARTERLY,last
CO_Q,TK99F2060601GCQ10000,D.I./業況/全規模/_電気・ガス/予測,%ポイント,QUARTERLY,last
CO_Q,TK99F2081601GCQ00000,D.I./業況/全規模/_対事業所サービス/実績,%ポイント,QUARTERLY,last
CO_Q,TK99F2081601GCQ10000,D.I./業況/全規模/_対事業所サービス/予測,%ポイント,QUARTERLY,last
CO_Q,TK99F2082601GCQ00000,D.I./業況/全規模/_対個人サービス/実績,%ポイント,QUARTERLY,last
CO_Q,TK99F2082601GCQ10000,D.I./業況/全規模/_対個人サービス/予測,%ポイント,QUARTERLY,last
CO_Q,TK99F2100601GCQ00000,D.I./業況/全規模/_宿泊・飲食サービス/実績,%ポイント,QUARTERLY,last
CO_Q,TK99F2100601GCQ10000,D.I./業況/全規模/_宿泊・飲食サービス/予測,%ポイント,QUARTERLY,last
CO_Q,TK99F2500601GCQ00000,D.I./業況/全規模/_鉱業・採石業・砂利採取業/実績,%ポイント,QUARTERLY,last
CO_Q,TK99F2500601GCQ10000,D.I./業況/全規模/_鉱業・採石業・砂利採取業/予測,%ポイント,QUARTERLY,last
CO_Q,TK99F1140601GCQ00000,（更新停止）D.I./業況/全規模/_一般機械/実績（2009年12月まで）,%ポイント,QUARTERLY,last
CO_Q,TK99F1140601GCQ10000,（更新停止）D.I./業況/全規模/_一般機械/予測（2009年12月まで）,%ポイント,QUARTERLY,last
CO_Q,TK99F1200601GCQ00000,（更新停止）D.I./業況/全規模/_精密機械/実績（2009年12月まで）,%ポイント,QUARTERLY,last
